patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US200063A,1878-02-05,jackson,['PROPN'],[],1,0,1,['jackson']
US200301A,1878-02-12,James e,"['PROPN', 'PROPN']",[],1,0,2,"['james', 'e']"
US200869A,1878-03-05,mitchell,['PROPN'],[],1,0,1,['mitchell']
US201667A,1878-03-26,haarmann,['PROPN'],[],1,0,1,['haarmann']
US201712A,1878-03-26,Catharine smith,"['PROPN', 'NOUN']",[],1,0,2,"['catharine', 'smith']"
US201977A,1878-04-02,Chaeles j,"['PROPN', 'NOUN']",[],1,0,2,"['chaeles', 'j']"
US202147A,1878-04-09,Geoege l,"['PROPN', 'NOUN']",[],1,0,2,"['geoege', 'l']"
US202188A,1878-04-09,Jambs ostergard,"['PROPN', 'VERB']",['ORG'],1,0,2,"['jambs', 'ostergard']"
US202202A,1878-04-09,nan,['PROPN'],['GPE'],1,0,1,['nan']
US202287A,1878-04-09,heebeet shedd,"['PROPN', 'NOUN']",[],1,0,2,"['heebeet', 'shedd']"
US202727A,1878-04-23,herman,['PROPN'],[],1,0,1,['herman']
US202902A,1878-04-23,Ahorhevs,['PROPN'],[],1,0,1,['ahorhevs']
US203176A,1878-04-30,Petefls,['PROPN'],[],1,0,1,['petefls']
US203944A,1878-05-21,Geoege w,"['PROPN', 'ADP']",[],1,0,2,"['geoege', 'w']"
US204022A,1878-05-21,gibson,['PROPN'],[],1,0,1,['gibson']
US204029A,1878-05-21,Elisha gray,"['PROPN', 'VERB']",[],1,0,2,"['elisha', 'gray']"
US204100A,1878-05-21,scranton,['PROPN'],[],1,0,1,['scranton']
US204105A,1878-05-21,David b,"['PROPN', 'PROPN']",[],1,0,2,"['david', 'b']"
US204244A,1878-05-28,Andre pekessat,"['PROPN', 'VERB']",['ORG'],1,0,2,"['andre', 'pekessat']"
US204296A,1878-05-28,Eiohaed w,"['ADJ', 'PROPN']",['ORG'],1,0,2,"['eiohaed', 'w']"
US204604A,1878-06-04,heberlina,['PROPN'],[],1,0,1,['heberlina']
US204697A,1878-06-11,Jalvix adams,"['PROPN', 'NOUN']",[],1,0,2,"['jalvix', 'adams']"
US205080A,1878-06-18,harris,['PROPN'],[],1,0,1,['harris']
US205093A,1878-06-18,Imbrovement,['PROPN'],[],1,0,1,['imbrovement']
US205216A,1878-06-25,Feedeeick j,"['PROPN', 'PROPN']",['ORG'],1,0,2,"['feedeeick', 'j']"
US205508A,1878-07-02,slayton,['PROPN'],[],1,0,1,['slayton']
US205669A,1878-07-02,Oeyille m,"['PROPN', 'VERB']",['ORG'],1,0,2,"['oeyille', 'm']"
US205897A,1878-07-09,Ollville l,"['PROPN', 'NOUN']",['ORG'],1,0,2,"['ollville', 'l']"
US206297A,1878-07-23,Gideon w,"['PROPN', 'PROPN']",[],1,0,2,"['gideon', 'w']"
US206832A,1878-08-06,schrober,['PROPN'],[],1,0,2,['schrober']
US207208A,1878-08-20,Julius c,"['PROPN', 'NOUN']",[],1,0,2,"['julius', 'c']"
US207272A,1878-08-20,Benjamin f,"['PROPN', 'X']",[],1,0,2,"['benjamin', 'f']"
US207411A,1878-08-27,frank,['PROPN'],[],1,0,1,['frank']
US208137A,1878-09-17,Johk f,"['PROPN', 'X']",[],1,0,2,"['johk', 'f']"
US208737A,1878-10-08,Moses g,"['PROPN', 'NOUN']",[],1,0,2,"['moses', 'g']"
US209300A,1878-10-22,Ximprovement,['PROPN'],[],1,0,1,['ximprovement']
US209393A,1878-10-29,himmerschlag,['PROPN'],[],1,0,1,['himmerschlag']
US209490A,1878-10-29,Philipp madlener,"['PROPN', 'NOUN']",[],1,0,2,"['philipp', 'madlener']"
US209841A,1878-11-12,Calvin e,"['PROPN', 'NOUN']",[],1,0,2,"['calvin', 'e']"
US209867A,1878-11-12,cratgie,['PROPN'],[],1,0,1,['cratgie']
US210054A,1878-11-19,boussin,['PROPN'],['GPE'],1,0,1,['boussin']
US210617A,1878-12-10,Wareen j,"['PROPN', 'NOUN']",[],1,0,2,"['wareen', 'j']"
US210832A,1878-12-17,Eobbet athebton,"['PROPN', 'NOUN']",[],1,0,2,"['eobbet', 'athebton']"
US211513A,1879-01-21,Samuel p,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'p']"
US212176A,1879-02-11,August beegee,"['PROPN', 'NOUN']",['DATE'],1,0,2,"['august', 'beegee']"
US212703A,1879-02-25,Lithograph eh,"['PROPN', 'INTJ']",[],1,0,2,"['lithograph', 'eh']"
US212734A,1879-02-25,Tinius olsef,"['PROPN', 'NOUN']",[],1,0,2,"['tinius', 'olsef']"
US212780A,1879-02-25,Nestok a,"['PROPN', 'PRON']",['ORG'],1,0,2,"['nestok', 'a']"
US213096A,1879-03-11,Johk h,"['PROPN', 'NOUN']",[],1,0,2,"['johk', 'h']"
US213357A,1879-03-18,Abel g,"['PROPN', 'NOUN']",[],1,0,2,"['abel', 'g']"
US213866A,1879-04-01,Andrew burgess,"['PROPN', 'NOUN']",['ORG'],1,0,2,"['andrew', 'burgess']"
US214043A,1879-04-08,janney,['PROPN'],[],1,0,1,['janney']
US214683A,1879-04-22,miller,['PROPN'],['ORG'],1,0,1,['miller']
