patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1151510A,1915-08-24,of newport news ,"['ADP', 'PROPN', 'PROPN']",['ORG'],1,0,3,0,1
US1193462A,1916-08-01,And augustus m ,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US1194173A,1916-08-08,A cobposasiok  of delav ,"['DET', 'NOUN', 'SPACE', 'ADP', 'PROPN']",[],1,0,5,0,1
US1194485A,1916-08-15,And edward g ,"['CCONJ', 'NOUN', 'PROPN']",[],1,0,3,0,1
US1194488A,1916-08-15,A cobpobationi of new jebsey ,"['DET', 'NOUN', 'ADP', 'ADJ', 'PROPN']",['ORG'],1,0,5,0,1
US1195047A,1916-08-15,And john keown ,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US1196026A,1916-08-29,And habry b ,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US1196095A,1916-08-29,And francis j ,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US1112151A,1911-12-11,"Under-water ash-ejector. 
     ","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,8,0,1
US1113338A,1914-01-26,"Confetti cartridge and gun. 
     ","['DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'SPACE']",['ORG'],0,0,6,0,1
US1116879A,1912-10-02,"Suspensory bandage. 
     ","['DET', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,4,0,1
US1120918A,1914-05-21,"By-pass valve for pressure-reducing valves. 
     ","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,11,0,1
US1126369A,1913-12-26,"By-pass for incandescent-electric-lamp circuits. 
     ","['ADP', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,12,0,1
US1129208A,1912-04-25,"Off-bearing machine for brickmaking. 
     ","['ADP', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'VERB', 'PUNCT', 'SPACE']",[],0,0,8,0,1
US1140026A,1915-02-27,"By-pass gas-cock. 
     ","['ADP', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,8,0,1
US1144895A,1915-06-29,of jasper county ,"['ADP', 'NOUN', 'NOUN']",['ORG'],0,0,3,0,1
US1147542A,1914-06-26,"By-pass valve for hydraulic door-operating systems. 
     ","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,12,0,1
US1148401A,1914-02-21,"A process for treating osier bark. 
     ","['DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,8,0,1
US1155396A,1915-10-05,To universal ,"['ADP', 'ADJ']",[],0,0,2,0,1
US1158203A,1912-09-30,"Under-contact rail and support. 
     ","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,8,0,1
US1161994A,1911-11-24,"Over-speed protecting device for electric motors. 
     ","['ADP', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,10,0,1
US1164501A,1915-12-14,"Under-water-operated musical apparatus. 
     ","['ADP', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,9,0,1
US1164950A,1915-06-28,"Suspensory bandage. 
     ","['DET', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,4,0,1
US1165286A,1915-04-16,"No-slip horseshoe. 
     ","['DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,6,0,1
US1173356A,1916-02-29,of pjttsbttbgh ,"['ADP', 'NOUN']",[],0,0,2,0,1
US1177754A,1916-04-04,A cobpokatiqn oe ,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US1179468A,1914-02-11,"By-pass valve and controlling device for engine-cylinders. 
     ","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,13,0,1
US1185409A,1916-04-04,"Anirattler attachment for doors. 
     ","['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'SPACE']",[],0,0,6,0,1
