patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3600138A,1966-08-23,Crystallizer,['PROPN'],[],1,0,2
US3600421A,1967-06-26,Polyhaloformates,['PROPN'],[],1,0,2
US3600569A,1969-01-24,Luminaire,['PROPN'],[],1,0,2
US3600843A,1969-11-24,Toy,['PROPN'],[],1,0,2
US3601435A,1969-04-22,Gatelock,['PROPN'],[],1,0,2
US3601741A,1969-08-21,Thermostat,['PROPN'],['GPE'],1,0,2
US3601836A,1969-04-03,Mop,['PROPN'],[],1,0,2
US3602157A,1968-09-30,Pallet,['PROPN'],[],1,0,2
US3602462A,1969-04-01,Parachute,['PROPN'],[],1,0,2
US3602542A,1969-02-10,Weeder,['PROPN'],[],1,0,2
US3602581A,1968-05-15,Skiascope,['PROPN'],[],1,0,2
US3602706B1,1968-12-27,nan,['PROPN'],['GPE'],1,0,1
US3603027A,1969-01-21,Toy,['PROPN'],[],1,0,2
US3603273A,1970-06-08,Pallet,['PROPN'],[],1,0,2
US3603365A,1970-02-06,Degerminator,['PROPN'],[],1,0,2
US3603554A,1969-10-03,Bookholder,['PROPN'],[],1,0,2
US3603784A,1968-11-12,Lantern,['PROPN'],[],1,0,2
US3604018A,1969-12-24,Bathtub,['PROPN'],[],1,0,2
US3604183A,1969-02-28,Bridle,['PROPN'],[],1,0,2
US3604557A,1969-07-24,Carrier,['PROPN'],[],1,0,2
US3604750A,1968-11-19,Harness,['PROPN'],[],1,0,2
US3605127A,1969-10-03,Bedpan,['PROPN'],[],1,0,2
US3605148A,1970-03-03,Watercraft,['PROPN'],[],1,0,2
US3605203A,1969-03-14,Claw,['PROPN'],[],1,0,2
US3605421A,1970-02-16,Cooler,['PROPN'],[],1,0,2
US3605435A,1969-12-29,Cooler,['PROPN'],[],1,0,2
US3606144A,1968-09-24,Ashtray,['PROPN'],[],1,0,2
US3606147A,1969-12-16,Separator,['PROPN'],[],1,0,2
US3606214A,1969-10-08,Airfoil,['PROPN'],[],1,0,2
US3606320A,1968-06-06,Treadmill,['PROPN'],[],1,0,2
US3606414A,1969-08-22,Fastener,['PROPN'],[],1,0,2
US3606546A,1969-05-13,Photocopier,['PROPN'],[],1,0,2
US3606547A,1968-12-31,Spectrophotometer,['PROPN'],[],1,0,2
US3606560A,1970-07-01,Drill,['PROPN'],[],1,0,2
US3606579A,1969-01-22,Propeller,['PROPN'],[],1,0,2
US3606611A,1968-10-24,Afterburner,['PROPN'],[],1,0,2
US3606919A,1968-08-09,Container,['PROPN'],[],1,0,2
US3607041A,1967-10-12,Hydrazine,['PROPN'],[],1,0,2
US3608069A,1969-03-20,Sialagogue,['PROPN'],[],1,0,2
US3608158A,1968-03-21,Buckle,['PROPN'],[],1,0,2
US3608215A,1969-06-14,Footwear,['PROPN'],[],1,0,2
US3608377A,1969-06-17,Xerometer,['PROPN'],[],1,0,2
US3608418A,1969-05-07,Kettledrum,['PROPN'],[],1,0,2
US3608419A,1970-01-15,Drumstick,['PROPN'],[],1,0,2
US3608512A,1970-01-26,Aquaplane,['PROPN'],[],1,0,2
US3608573A,1968-02-06,Fluidistor,['PROPN'],[],1,0,2
US3609804A,1969-08-27,Vehicle,['PROPN'],[],1,0,2
US3610152A,1969-12-12,Cracker,['PROPN'],[],1,0,2
US3610231A,1967-07-21,Endoscope,['PROPN'],[],1,0,2
US3610519A,1970-01-19,Calculator,['PROPN'],[],1,0,2
US3610580A,1968-08-09,Trolley,['PROPN'],[],1,0,2
US3610895A,1969-04-24,Timer,['PROPN'],[],1,0,2
US3611460A,1968-09-24,Lifebelt,['PROPN'],[],1,0,2
US3611549B1,1969-07-01,nan,['PROPN'],['GPE'],1,0,1
US3611813A,1970-02-20,Tachometer,['PROPN'],[],1,0,2
US3612199A,1968-09-09,Vehicle,['PROPN'],[],1,0,2
US3612458A,1970-01-02,Hanger,['PROPN'],[],1,0,2
US3612696A,1969-01-21,Refractometer,['PROPN'],[],1,0,2
US3612714A,1969-10-16,Dishwasher,['PROPN'],[],1,0,2
US3613136A,1969-10-03,Catamaran,['PROPN'],[],1,0,2
US3613272A,1968-10-24,Footwear,['PROPN'],[],1,0,2
US3613492A,1968-07-02,Microtome,['PROPN'],[],1,0,2
US3613660A,1969-12-15,Andiron,['PROPN'],['GPE'],1,0,2
US3613887B1,1968-10-14,nan,['PROPN'],['GPE'],1,0,1
US3614017A,1969-10-15,Pirn,['PROPN'],[],1,0,2
US3614638A,1969-05-07,Betatron,['PROPN'],['ORG'],1,0,2
US3614828A,1965-10-21,Bonding,['PROPN'],[],1,0,2
US3615423A,1966-10-24,Thermocopying,['PROPN'],[],1,0,2
US3616492A,1969-02-14,Moulding,['PROPN'],[],1,0,2
US3616547A,1968-11-20,Dryer,['PROPN'],[],1,0,2
US3616626A,1968-02-14,Mower,['PROPN'],[],1,0,2
US3617103A,1968-12-11,Roller,['PROPN'],[],1,0,2
US3618139A,1970-06-17,Shirt,['PROPN'],[],1,0,2
US3618154A,1970-02-02,Brush,['PROPN'],[],1,0,2
US3618359A,1968-08-06,Olfactometer,['PROPN'],[],1,0,2
US3618379A,1969-10-31,Tensiometer,['PROPN'],[],1,0,2
US3618411A,1968-12-07,Pulley,['PROPN'],['GPE'],1,0,2
US3618464A,1969-12-04,Duplicator,['PROPN'],[],1,0,2
US3618785A,1969-10-10,Gunrack,['PROPN'],[],1,0,2
US3618872A,1969-09-04,Spool,['PROPN'],['ORG'],1,0,2
US3619048A,1968-08-13,Episcope,['PROPN'],[],1,0,2
US3619068A,1969-08-28,Refractometer,['PROPN'],[],1,0,2
US3619471A,1969-05-01,Harmonicas,['PROPN'],['GPE'],1,0,2
US3619524A,1970-05-08,Sensor,['PROPN'],[],1,0,2
US3619836A,1969-04-01,Shoetree,['PROPN'],[],1,0,2
US3619837A,1969-01-13,Shoetree,['PROPN'],[],1,0,2
US3620225A,1970-01-22,Ashtray,['PROPN'],[],1,0,2
US3620441A,1969-09-26,Envelope,['PROPN'],[],1,0,2
US3620962A,1967-10-09,Process,['PROPN'],[],1,0,2
US3621243B1,1967-01-23,nan,['PROPN'],['GPE'],1,0,1
US3621432A,1970-04-27,Thermostat,['PROPN'],['GPE'],1,0,2
US3621487A,1969-06-30,Sequencer,['PROPN'],[],1,0,2
US3621498A,1969-03-21,Bedcover,['PROPN'],[],1,0,2
US3621532A,1969-05-15,Thermoformer,['PROPN'],[],1,0,2
US3621601A,1969-01-31,Toy,['PROPN'],[],1,0,2
US3623063A,1969-10-22,Alarm,['PROPN'],[],1,0,2
US3623190A,1969-11-17,Buckle,['PROPN'],[],1,0,2
US3623655A,1970-04-16,Mailbox,['PROPN'],['ORG'],1,0,2
US3624061A,1966-10-18,Process,['PROPN'],[],1,0,2
US3624323A,1969-01-07,Microswitch,['PROPN'],[],1,0,2
US3624667A,1970-04-01,Toothbrush,['PROPN'],[],1,0,2
US3625289A,1970-05-04,Sprinkler,['PROPN'],[],1,0,2
US3625556A,1969-10-09,Looper,['PROPN'],[],1,0,2
US3625620A,1970-08-24,Refractometer,['PROPN'],[],1,0,2
US3625662A,1970-05-18,Superconductor,['PROPN'],[],1,0,2
US3626424A,1970-03-18,Lamp,['PROPN'],[],1,0,2
US3626530A,1969-11-24,Vest,['PROPN'],[],1,0,2
US3626706A,1966-12-24,Cryostat,['PROPN'],[],1,0,2
US3626756A,1969-01-29,Flowmeter,['PROPN'],[],1,0,2
US3626815A,1970-05-25,Piston,['PROPN'],['GPE'],1,0,2
US3626877A,1968-04-12,Planter,['PROPN'],[],1,0,2
US3626937A,1969-05-26,Apparatus,['PROPN'],[],1,0,2
US3627170A,1969-09-15,Container,['PROPN'],[],1,0,2
US3627240A,1969-11-24,Kite,['PROPN'],[],1,0,2
US3627273A,1970-02-26,Barricade,['PROPN'],[],1,0,2
US3627459A,1969-02-21,Flashbulb,['PROPN'],[],1,0,2
US3628005A,1970-02-27,Lantern,['PROPN'],[],1,0,2
US3628548A,1968-04-03,Umbrella,['PROPN'],['ORG'],1,0,2
US3628581A,1968-12-21,Slicer,['PROPN'],[],1,0,2
US3628867A,1969-08-20,Refractometer,['PROPN'],[],1,0,2
US3628903A,1970-05-11,Afterburner,['PROPN'],[],1,0,2
US3629326A,1965-03-08,Perfluoro,['PROPN'],['GPE'],1,0,1
US3630116A,1969-01-09,Rivet,['PROPN'],[],1,0,2
US3630157A,1969-02-06,Pallet,['PROPN'],[],1,0,2
US3631088A,1969-11-14,Organophosphatosiloxanes,['PROPN'],['NORP'],1,0,2
US3631193A,1970-04-20,Tris(dimethylhydrogensiloxy),"['PROPN', 'PUNCT']",[],1,0,2
US3631569A,1969-06-23,Fastener,['PROPN'],[],1,0,2
US3631728A,1970-04-27,Sensor,['PROPN'],[],1,0,2
US3632073A,1968-08-24,Tripod,['PROPN'],[],1,0,2
US3633022A,1969-12-08,Lamp,['PROPN'],[],1,0,2
US3633324A,1970-04-10,Caravan,['PROPN'],[],1,0,2
US3633585A,1969-04-17,Catheter,['PROPN'],[],1,0,2
US3634228B1,1969-10-22,nan,['PROPN'],['GPE'],1,0,1
US3634938B1,1970-08-19,nan,['PROPN'],['GPE'],1,0,1
US3634973B1,1969-08-27,nan,['PROPN'],['GPE'],1,0,1
US3634992A,1966-11-28,Frames,['PROPN'],[],1,0,2
US3635075A,1970-06-29,Osmometer,['PROPN'],[],1,0,2
US3635590A,1970-02-16,Propeller,['PROPN'],[],1,0,2
US3636013A,1965-08-05,Oestrogens,['PROPN'],[],1,0,2
US3636137A,1966-05-06,Bis(o(carbo,['PROPN'],[],1,0,1
US3636544A,1970-01-19,Alarm,['PROPN'],[],1,0,2
US3636566A,1970-02-02,Swaddler,['PROPN'],[],1,0,2
US3636639A,1968-11-21,Dryer,['PROPN'],[],1,0,2
US3636738A,1967-08-29,Padlock,['PROPN'],[],1,0,2
US3636858A,1969-07-22,Toaster,['PROPN'],[],1,0,2
US3636888A,1970-05-04,Pallet,['PROPN'],[],1,0,2
US3636889A,1970-05-19,Pallet,['PROPN'],[],1,0,2
US3637035A,1969-11-07,Snowmobile,['PROPN'],[],1,0,2
US3637250A,1970-12-07,Grapple,['PROPN'],[],1,0,2
US3637706A,1970-04-30,10-(4,['PROPN'],[],1,0,1
US3637871A,1970-02-04,Polyfluorotricycloalkenes,['PROPN'],[],1,0,2
US3638350A,1970-09-02,Toy,['PROPN'],[],1,0,2
US3638501A,1970-04-27,Sensor,['PROPN'],[],1,0,2
US3638586A,1970-06-05,Pallet,['PROPN'],[],1,0,2
US3639045A,1966-11-10,Filmstrip,['PROPN'],['GPE'],1,0,2
US3639418A,1967-03-01,Bishydantoins,['PROPN'],[],1,0,2
US3640058A,1970-08-27,Apparatus,['PROPN'],[],1,0,2
US3640229A,1969-10-06,Pallet,['PROPN'],[],1,0,2
US3640544A,1970-06-08,Handcart,['PROPN'],[],1,0,2
US3640877A,1969-04-17,Detergent,['PROPN'],[],1,0,2
US3640950B1,1969-02-27,nan,['PROPN'],['GPE'],1,0,1
US3641148A,1965-10-11,Aminopolycyclodecanes,['PROPN'],[],1,0,2
US3641633A,1970-11-23,Buckle,['PROPN'],[],1,0,2
US3641949A,1970-08-28,Pallet,['PROPN'],[],1,0,2
US3642095A,1968-03-22,Muffler,['PROPN'],['NORP'],1,0,2
US3642223A,1970-04-24,Spool,['PROPN'],['ORG'],1,0,2
US3642822A,1969-11-03,Hexahydropyrrolobenzodiazepines,['PROPN'],[],1,0,2
US3643673A,1969-07-25,Umbrella,['PROPN'],['ORG'],1,0,2
US3643841A,1969-11-05,Hanger,['PROPN'],[],1,0,2
